STRIKER_V,V_MAX
0.,0.
0.01,0.0064
0.02,0.0128
0.03,0.0192
0.04,0.0256
0.05,0.032
0.06,0.0384
0.07,0.044800000000000006
0.08,0.0512
0.09,0.0576
0.1,0.064
0.11,0.0704
0.12,0.0768
0.13,0.08320000000000001
0.14,0.08960000000000001
0.15,0.096
0.16,0.1024
0.17,0.10880000000000001
0.18,0.1152
0.19,0.1216
0.2,0.128
0.21,0.1344
0.22,0.1408
0.23,0.1472
0.24,0.1536
0.25,0.16
0.26,0.16640000000000002
0.27,0.1728
0.28,0.17920000000000003
0.29,0.1856
0.3,0.192
0.31,0.1984
0.32,0.2048
0.33,0.21120000000000003
0.34,0.21760000000000002
0.35000000000000003,0.22400000000000003
0.36,0.2304
0.37,0.2368
0.38,0.2432
0.39,0.24960000000000002
0.4,0.256
0.41000000000000003,0.2624
0.42,0.2688
0.43,0.2752
0.44,0.2816
0.45,0.28800000000000003
0.46,0.2944
0.47000000000000003,0.3008
0.48,0.3072
0.49,0.3136
0.5,0.32
0.51,0.3264
0.52,0.33280000000000004
0.53,0.3392
0.54,0.3456
0.55,0.35200000000000004
0.56,0.35840000000000005
0.5700000000000001,0.36480000000000007
0.58,0.3712
0.59,0.3776
0.6,0.384
0.61,0.3904
0.62,0.3968
0.63,0.4032
0.64,0.4096
0.65,0.41600000000000004
0.66,0.42240000000000005
0.67,0.4288
0.68,0.43520000000000003
0.6900000000000001,0.44160000000000005
0.7000000000000001,0.44800000000000006
0.71,0.45439999999999997
0.72,0.4608
0.73,0.4672
0.74,0.4736
0.75,0.48
0.76,0.4864
0.77,0.4928
0.78,0.49920000000000003
0.79,0.5056
0.8,0.512
